2025-02-09 18:23:37,050 - WARNING - Пропускаем запись с serialno: S163, начинается на 'S'.
2025-02-09 18:23:37,051 - WARNING - Пропускаем запись с serialno: S17, начинается на 'S'.
2025-02-09 18:23:37,052 - WARNING - Пропускаем запись с serialno: S27, начинается на 'S'.
2025-02-09 18:23:37,054 - WARNING - Пропускаем запись с serialno: S91, начинается на 'S'.
2025-02-09 18:23:37,056 - WARNING - Пропускаем запись с serialno: S112, начинается на 'S'.
2025-02-09 18:23:37,057 - WARNING - Пропускаем запись с serialno: S69, начинается на 'S'.
2025-02-09 18:23:37,059 - WARNING - Пропускаем запись с serialno: S211, начинается на 'S'.
2025-02-09 18:23:37,060 - WARNING - Пропускаем запись с serialno: S160, начинается на 'S'.
2025-02-09 18:23:37,060 - WARNING - Пропускаем запись с serialno: S43, начинается на 'S'.
2025-02-09 18:23:37,061 - WARNING - Пропускаем запись с serialno: S64, начинается на 'S'.
